,County,Population,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Employable Count,Unemployment Count,Unemployment Rate
173,Borden,345.0,75694.0,40150.0,0.0,0.0,148.0,2.0,1.3513513513513513
174,Bosque,18199.0,345315.0,192618.0,2577.0,14.160118687839992,7881.0,598.0,7.587869559700546
175,Bossier,120559.0,417009.0,206781.0,16864.0,13.988171766520956,58171.0,3337.0,5.736535387048529
176,Botetourt,55485.0,475636.0,237528.0,4306.0,7.760656033162116,28690.0,1513.0,5.273614499825723
177,Bottineau,6768.0,537637.0,326805.0,563.0,8.31855791962175,3553.0,111.0,3.1241204615817617
178,Boulder,321524.0,1274797.0,680047.0,42900.0,13.342705365695874,184689.0,11256.0,6.094569790296119
179,Boundary,10961.0,104974.0,60407.0,1647.0,15.026001277255725,4079.0,191.0,4.682520225545477
180,Bourbon,33616.0,398465.0,214525.0,5871.0,17.464897667777247,16167.0,1144.0,7.076142759943094
181,Bowie,93009.0,396511.0,198797.0,16693.0,17.94772548893118,39209.0,3341.0,8.521002830982683
182,Bowman,3530.0,207552.0,111789.0,272.0,7.705382436260623,1884.0,31.0,1.645435244161359
183,Box Butte,11688.0,107585.0,52027.0,1924.0,16.46132785763176,6004.0,234.0,3.8974017321785475
184,Box Elder,50894.0,1012440.0,429036.0,4766.0,9.364561637914097,22939.0,1450.0,6.321112515802781
185,Boyd,54926.0,391337.0,244867.0,10166.0,18.5085387612424,23123.0,2286.0,9.886260433334774
186,Boyle,30246.0,152068.0,80138.0,4507.0,14.901143952919394,13559.0,1111.0,8.193819603215577
187,Bracken,9291.0,155377.0,87627.0,1730.0,18.62017005704445,4062.0,329.0,8.09945839487937
188,Bradford,84480.0,1258881.0,616975.0,12782.0,15.130208333333334,37460.0,2766.0,7.383876134543513
189,Bradley,112777.0,309768.0,192053.0,22706.0,20.133537866763614,53814.0,5859.0,10.887501393689375
190,Branch,44072.0,266822.0,122279.0,7188.0,16.309675077146487,19816.0,1333.0,6.726887363746467
191,Brantley,16659.0,147436.0,67095.0,3642.0,21.862056546011164,6785.0,778.0,11.466470154753132
192,Braxton,13305.0,315830.0,178657.0,2646.0,19.88726042841037,5600.0,804.0,14.357142857142858
193,Brazoria,347858.0,984743.0,425940.0,38400.0,11.038987172926884,170533.0,9268.0,5.434725243794456
194,Brazos,205021.0,315610.0,157844.0,53139.0,25.918808317196774,105011.0,6760.0,6.437420841626115
195,Breathitt,12826.0,113771.0,61834.0,4096.0,31.935131763605177,4580.0,583.0,12.729257641921397
196,Breckinridge,18684.0,500464.0,228353.0,3191.0,17.078783986298436,8311.0,946.0,11.38250511370473
197,Bremer,25202.0,435280.0,207252.0,1897.0,7.527180382509325,13686.0,530.0,3.8725705100102292
198,Brevard,554125.0,1371474.0,764151.0,76487.0,13.80320324836454,258075.0,28063.0,10.873970744938488
199,Brewster,9235.0,164002.0,194197.0,1238.0,13.405522468868435,4612.0,227.0,4.92194275802255
200,Briscoe,1749.0,79000.0,43384.0,303.0,17.32418524871355,817.0,37.0,4.528763769889841
201,Bristol,602173.0,2583787.0,1270829.0,71412.0,11.859050472206492,322638.0,28366.0,8.791896800748827
202,Bristol (city),29417.0,77599.0,46881.0,4530.0,15.39925893191012,13475.0,1248.0,9.261595547309833
203,Bristol Bay,1022.0,212667.0,112469.0,72.0,7.045009784735812,599.0,33.0,5.509181969949917
204,Broadwater,5077.0,89319.0,95239.0,556.0,10.951349221981484,2463.0,115.0,4.669102720259846
205,Bronx,1430052.0,988872.0,506180.0,430381.0,30.095479045517227,660099.0,92174.0,13.96366302630363
206,Brooke,19601.0,280789.0,128161.0,2322.0,11.846334370695372,9071.0,642.0,7.077499724396429
207,Brookings,32794.0,348083.0,180201.0,4744.0,14.46606086479234,19551.0,616.0,3.150733977801647
208,Brooks,19670.0,180150.0,107790.0,6481.0,32.948652770716826,8080.0,1624.0,20.099009900990097
209,Broome,202783.0,1054814.0,548324.0,34165.0,16.84805925546027,98481.0,7627.0,7.7446410982829175
210,Broomfield,19094.0,109510.0,50904.0,909.0,4.760657798261234,9490.0,478.0,5.036880927291886
211,Broward,1857329.0,3239120.0,1734961.0,270768.0,14.578354184961308,996482.0,100466.0,10.082068717749042
212,Brown,432101.0,3513149.0,1687926.0,51681.0,11.960398147655294,226388.0,12758.0,5.635457709772603
213,Brule,5163.0,147526.0,68202.0,520.0,10.071663761379043,2673.0,101.0,3.778526000748223
214,Brunswick,132915.0,957750.0,570744.0,22087.0,16.61738705187526,58252.0,6604.0,11.336949804298564
215,Bryan,82416.0,594258.0,355502.0,12977.0,15.745728984663172,37761.0,3241.0,8.582929477503244
216,Buchanan,113468.0,1415573.0,731745.0,21019.0,18.52416540346177,54821.0,3927.0,7.163313328833841
217,Buckingham,12679.0,156603.0,79215.0,1850.0,14.59105607697768,5066.0,588.0,11.606790367153573
218,Bucks,615093.0,3284434.0,1681980.0,36150.0,5.8771600392135825,339551.0,23685.0,6.975388086031259
219,Buena Vista,20716.0,407129.0,223102.0,2469.0,11.91832400077235,11259.0,413.0,3.668176569855227
220,Buena Vista (city),8391.0,30281.0,17593.0,1979.0,23.58479323084257,3854.0,258.0,6.694343539180073
221,Buffalo,64842.0,907975.0,474624.0,8242.0,12.710897257950094,37078.0,1409.0,3.8000970926155673
222,Bullitt,60508.0,215248.0,95612.0,6690.0,11.056389237786739,31687.0,2318.0,7.315302805566952
223,Bulloch,67773.0,204795.0,104142.0,21256.0,31.363522346657223,32426.0,2930.0,9.035958798495034
224,Bullock,10702.0,97301.0,57652.0,2821.0,26.35955896094188,4742.0,899.0,18.95824546604808
225,Buncombe,250007.0,759915.0,423537.0,37844.0,15.137176159067547,127568.0,8753.0,6.8614386052928635
226,Bureau,33816.0,1119181.0,567988.0,4272.0,12.63307310149042,17367.0,1326.0,7.635170150285023
227,Burke,104121.0,898804.0,472616.0,22151.0,21.274286647266162,47518.0,5031.0,10.587566816785218
228,Burleigh,87729.0,620677.0,331016.0,6928.0,7.897046586647517,50285.0,1175.0,2.3366809187630504
229,Burleson,17186.0,147792.0,61898.0,2743.0,15.960665658093797,7842.0,584.0,7.4470798265748535
230,Burlington,445289.0,2385553.0,1171883.0,27673.0,6.214615676560616,240214.0,20469.0,8.521151972824232
231,Burnet,37108.0,211266.0,104674.0,5893.0,15.880672631238546,16181.0,907.0,5.605339595822261
