Zipcode,Population,None,High School Degree,GED,Associate Degree,Bachelor Degree,Masters Degree,Professional Degree,Doctorate Degree
85131,17877.0,248.0,2251.0,1687.0,539.0,654.0,285.0,38.0,37.0
85132,36013.0,257.0,5081.0,3147.0,1919.0,1789.0,899.0,215.0,196.0
85135,585.0,3.0,129.0,13.0,19.0,12.0,0.0,0.0,0.0
85137,2656.0,36.0,662.0,160.0,229.0,108.0,38.0,0.0,0.0
85138,35003.0,118.0,4953.0,1107.0,2488.0,3988.0,1548.0,85.0,181.0
85139,18669.0,242.0,2653.0,697.0,1062.0,1370.0,547.0,16.0,62.0
85140,40505.0,229.0,5356.0,1033.0,2729.0,3123.0,1174.0,60.0,147.0
85141,323.0,16.0,45.0,50.0,17.0,17.0,3.0,0.0,0.0
85142,54373.0,345.0,5826.0,998.0,3482.0,6447.0,2186.0,420.0,362.0
85143,38393.0,182.0,4935.0,935.0,2553.0,3025.0,987.0,120.0,216.0
85145,2144.0,15.0,232.0,67.0,128.0,255.0,36.0,0.0,21.0
85147,4439.0,0.0,792.0,220.0,153.0,93.0,0.0,0.0,9.0
85172,1381.0,0.0,456.0,16.0,55.0,55.0,0.0,0.0,0.0
85173,2856.0,57.0,708.0,133.0,150.0,112.0,35.0,3.0,0.0
85192,1394.0,19.0,293.0,15.0,136.0,48.0,34.0,4.0,9.0
85193,3735.0,56.0,698.0,186.0,158.0,95.0,7.0,0.0,0.0
85194,7146.0,89.0,1338.0,229.0,681.0,625.0,451.0,71.0,13.0
85201,50232.0,382.0,7500.0,1383.0,2495.0,3798.0,1462.0,210.0,212.0
85202,36909.0,274.0,4420.0,798.0,2234.0,4205.0,1919.0,284.0,242.0
85203,35568.0,303.0,4558.0,1177.0,2233.0,3318.0,1475.0,291.0,269.0
85204,64665.0,907.0,8892.0,1843.0,3468.0,4678.0,1352.0,355.0,91.0
85205,41270.0,379.0,7714.0,1179.0,2813.0,4494.0,1961.0,443.0,193.0
85206,33885.0,104.0,5968.0,860.0,2089.0,4601.0,1538.0,235.0,240.0
85207,46821.0,209.0,6689.0,1219.0,2825.0,6749.0,2319.0,514.0,250.0
85208,35852.0,447.0,7752.0,1740.0,2310.0,3491.0,1093.0,261.0,139.0
85209,41181.0,262.0,6994.0,1121.0,2620.0,4777.0,2206.0,394.0,353.0
85210,38151.0,559.0,4711.0,1326.0,1987.0,2902.0,953.0,73.0,74.0
85212,25829.0,256.0,2676.0,438.0,1443.0,3168.0,1314.0,139.0,188.0
85213,33789.0,146.0,4746.0,885.0,1929.0,4594.0,1814.0,425.0,294.0
85215,15524.0,57.0,2561.0,425.0,1147.0,2410.0,1237.0,243.0,119.0
85224,45291.0,327.0,5174.0,875.0,3160.0,7169.0,3182.0,546.0,373.0
85225,73155.0,841.0,9086.0,1193.0,3739.0,7998.0,3477.0,461.0,485.0
